PlaceName,latitude,longitude
Hindustan Hindustan Hindustan Hindustán,28,76
Zerpur Pali Zerpur Pali Zerpur Zerpur Pali,28.32426,76.09787
Yamunānagar Yamunanagar Abdullahpur Abdullapur Abdullāhpur Jamna Nagar Yamuna Nagar Yamunanagar Yamunānagar,30.12796,77.28371
Western Yamuna Canal Western Yamuna Canal Western Jumna Canal Western Jumna Canal Main Line Western Yamuna Canal,29.52039,76.83916
Pashchimi Nayār River Pashchimi Nayar River Pashchimi Nayar Pashchimi Nayar River Pashchimi Nayār Pashchimi Nayār River Western Nayar River Western Nayār River,29.93306,78.70728
Wer Wer ,27.0186,77.17636
Wazīrpur Wazirpur ,26.56498,76.8866
Wazīrganj Wazirganj Wazirganj Wazīrganj,28.21145,79.05665
Wātika Watika Watika Watka Wātika Wātka,26.71149,75.80114
Wair Wair WIR Wair Wair Railroad Station,28.34945,77.69934
Vrindāvan Vrindavan Brindaban Brindāban Vrindaban Vrindavan Vrindāban Vrindāvan Вриндаван,27.58105,77.69662
Sarojininagar Railroad Station Sarojininagar Railroad Station Sarajininagar Railroad Station Sarojininagar Sarojininagar Railroad Station Vinay Nagar Vinaya Nagar,28.58114,77.19772
Utangan River Utangan River Banganga Nadi Bānganga Nadī Gambhir Gambhir River Gambhīr Gambhīr River Utangan Utangan River,26.98311,78.44688
Usehat Usehat Usehat,27.79796,79.23763
Urlāna Khurd Urlana Khurd ,29.36248,76.70348
Urlāna Kalān Urlana Kalan ,29.34499,76.69188
Urlāna Urlana ,29.35,76.68333
Urika Urika Urika Ūrika,28.35253,75.90747
Ganges Canal Ganges Canal Ganges Canal Upper Ganges Canal,27.81379,78.23894
Ūn Un Un Ūn,29.58479,77.2554
Lālpur Umri Railroad Station Lalpur Umri Railroad Station LRU Lalpur Umri Lalpur Umri Railroad Station Lālpur Umri Lālpur Umri Railroad Station Umri Umrī,26.4307,76.68042
Umran Lake Umran Lake ,27.5,76.58333
Umra Umra ,29.02106,75.88822
Umedpur Bhutāh Umedpur Bhutah ,28.3278,79.59961
Uklāna Uklana Uklana Uklana Mandi Uklāna,29.51124,75.87823
Ujhāni Ujhani Ujhani Ujhāni,28.00311,79.00821
Ūjhāna Ujhana Ujhana Ujhāna Ūjhāna,29.71755,76.1351
Rāmgarh Ujalbās Railroad Station Ramgarh Ujalbas Railroad Station Ramgarh Ujalbas Ramgarh Ujalbas Railroad Station Rāmgarh Ujalbās Rāmgarh Ujalbās Railroad Station Ujalbas,29.18084,74.95645
Ugriāwās Ugriawas Ugrawas Ugriawas Ugriawas Railroad Station Ugriāwās Ugriāwās Railroad Station,26.90635,75.49861
Udaipur Udaipur ,27.72297,75.47178
Udai Kalān Sāgar Udai Kalan Sagar Udai Kalan Udai Kalan Sagar Udai Kalān Udai Kalān Sāgar,26.55,76.76667
Uchen Uchen ,27.09229,77.40952
Bara Uchāna Bara Uchana Bara Uchana Bara Uchāna Uchana Uchāna,29.46747,76.17798
Tunga Tunga ,26.7339,76.15127
Tūndla Tundla Tundla Tūndla,27.2146,78.23683
Tughlakābād Tughlakabad Fort Tughlakabad Tughlakabad Tughlakābād Tughlaqabad,28.51342,77.26889
Tota Ām Tota Am ,29.55217,79.21485
Toshām Tosham Tosbam Tosbām Tosham Toshām,28.86993,75.9165
Tons River Tons River Tons Tons River,30.5075,77.81969
Tohāna Tohana Tohana Tohāna,29.71332,75.90441
Todabhim Todabhim ,26.91667,76.81667
Titron Titron Titron,29.66824,77.32391
Tisua Tisua ,28.13619,79.6031
Tirāwari Tirawari ,29.80147,76.92825
Tindauli Tindauli ,27.18376,78.92167
Timali Timali Timli,30.36991,77.72986
Tīkri Tikri Tikri Tīkri,29.2291,77.35479
Tīk Railroad Station Tik Railroad Station TIK Tik Tik Railroad Station Tīk Tīk Railroad Station,29.84845,76.5266
Tijāra Tijara Tijara Tijāra,27.93411,76.85541
Tigrī Tigri Tigri Tigrī,28.82353,78.15883
Tibri Tibri ,29.119,77.04598
Thūn Thun ,27.37715,77.11817
Thoi Thoi ,27.54175,75.74981
Therai Therai ,27.05377,78.05565
