From Date,To Date,PM2.5,PM10,NO,NO2,NOx
01-09-2021 00:00,01-09-2021 00:15,23,46,5.8,26.6,32.4
01-09-2021 00:15,01-09-2021 00:30,23,46,5.2,25.3,30.4
01-09-2021 00:30,01-09-2021 00:45,23,46,5.9,23.7,29.5
01-09-2021 00:45,01-09-2021 01:00,23,46,4.5,23.2,27.7
01-09-2021 01:00,01-09-2021 01:15,18,45,4.2,25.4,29.6
01-09-2021 01:15,01-09-2021 01:30,18,45,5.9,27.6,33.4
01-09-2021 01:30,01-09-2021 01:45,None,45,8.7,28.1,36.8
01-09-2021 01:45,01-09-2021 02:00,18,45,11.5,25.5,37
01-09-2021 02:00,01-09-2021 02:15,23,41,None,None,None
01-09-2021 02:15,01-09-2021 02:30,23,41,None,None,None
01-09-2021 02:30,01-09-2021 02:45,23,41,None,None,None
01-09-2021 02:45,01-09-2021 03:00,23,41,9.7,27.4,37.1
01-09-2021 03:00,01-09-2021 03:15,18,39,6,25.1,31.2
01-09-2021 03:15,01-09-2021 03:30,18,39,5,22.5,27.5
01-09-2021 03:30,01-09-2021 03:45,18,39,4.4,20.7,25.1
01-09-2021 03:45,01-09-2021 04:00,18,39,3.7,18.9,22.7
01-09-2021 04:00,01-09-2021 04:15,None,33,3,19.7,22.6
01-09-2021 04:15,01-09-2021 04:30,16,33,3.5,22.4,25.8
01-09-2021 04:30,01-09-2021 04:45,16,33,9.8,24.2,34
01-09-2021 04:45,01-09-2021 05:00,16,33,13.2,25.3,38.5
01-09-2021 05:00,01-09-2021 05:15,20,44,11.5,26,37.5
01-09-2021 05:15,01-09-2021 05:30,None,44,9.4,25.1,34.4
01-09-2021 05:30,01-09-2021 05:45,20,44,7.7,23.6,31.3
01-09-2021 05:45,01-09-2021 06:00,20,44,5.4,23.5,28.8
01-09-2021 06:00,01-09-2021 06:15,23,47,5.2,22.8,28
01-09-2021 06:15,01-09-2021 06:30,23,47,5.4,22.4,27.9
01-09-2021 06:30,01-09-2021 06:45,23,47,4.8,13.7,18.4
01-09-2021 06:45,01-09-2021 07:00,23,47,3.2,9.5,12.7
01-09-2021 07:00,01-09-2021 07:15,11,23,3.1,8.7,11.8
01-09-2021 07:15,01-09-2021 07:30,11,23,2.6,8.1,10.6
01-09-2021 07:30,01-09-2021 07:45,11,23,2.3,6.7,9
01-09-2021 07:45,01-09-2021 08:00,11,23,2,6.2,8.2
01-09-2021 08:00,01-09-2021 08:15,None,2,2.1,8.9,11
01-09-2021 08:15,01-09-2021 08:30,None,None,1.9,11.6,13.5
01-09-2021 08:30,01-09-2021 08:45,None,None,1.7,10.4,12.1
01-09-2021 08:45,01-09-2021 09:00,None,None,2.1,7.3,9.4
01-09-2021 09:00,01-09-2021 09:15,None,None,1.7,7.7,9.4
01-09-2021 09:15,01-09-2021 09:30,None,None,1.4,6.6,8
01-09-2021 09:30,01-09-2021 09:45,None,None,1.9,6.1,8
01-09-2021 09:45,01-09-2021 10:00,None,None,2.5,7.7,10.2
01-09-2021 10:00,01-09-2021 10:15,5,9,2.5,10.2,12.7
01-09-2021 10:15,01-09-2021 10:30,5,9,3.1,11.1,14.3
01-09-2021 10:30,01-09-2021 10:45,5,9,3.7,10.6,14.3
01-09-2021 10:45,01-09-2021 11:00,5,9,3.2,11,14.3
01-09-2021 11:00,01-09-2021 11:15,1,6,2.2,8.9,11.1
01-09-2021 11:15,01-09-2021 11:30,1,6,2.7,9,11.7
01-09-2021 11:30,01-09-2021 11:45,1,6,3.4,9.7,13.1
01-09-2021 11:45,01-09-2021 12:00,1,6,3.6,10.3,14
01-09-2021 12:00,01-09-2021 12:15,None,7,3.4,10.5,14
01-09-2021 12:15,01-09-2021 12:30,None,7,2.5,11.2,13.7
01-09-2021 12:30,01-09-2021 12:45,None,7,2.4,11.4,13.8
01-09-2021 12:45,01-09-2021 13:00,None,7,1.6,10.5,12.1
01-09-2021 13:00,01-09-2021 13:15,None,5,2.2,10.2,12.3
01-09-2021 13:15,01-09-2021 13:30,None,5,3.7,9.6,13.2
01-09-2021 13:30,01-09-2021 13:45,None,5,3.1,8.6,11.7
01-09-2021 13:45,01-09-2021 14:00,None,5,2.9,8.1,11.1
01-09-2021 14:00,01-09-2021 14:15,None,2,2,8.2,10.2
01-09-2021 14:15,01-09-2021 14:30,None,2,1.9,7.7,9.7
01-09-2021 14:30,01-09-2021 14:45,None,2,1.7,9.5,11.2
01-09-2021 14:45,01-09-2021 15:00,None,None,2.9,11.5,14.5
01-09-2021 15:00,01-09-2021 15:15,None,None,3.6,13.2,16.9
01-09-2021 15:15,01-09-2021 15:30,None,None,3.1,14.5,17.6
01-09-2021 15:30,01-09-2021 15:45,None,None,3,14.5,17.4
01-09-2021 15:45,01-09-2021 16:00,None,None,6,15.2,21.2
01-09-2021 16:00,01-09-2021 16:15,9,14,4,17.6,21.7
01-09-2021 16:15,01-09-2021 16:30,9,14,3.9,17.9,21.8
01-09-2021 16:30,01-09-2021 16:45,9,14,3,20.1,23.1
01-09-2021 16:45,01-09-2021 17:00,None,None,5.2,19.5,24.7
01-09-2021 17:00,01-09-2021 17:15,None,34,5.1,21.5,26.6
01-09-2021 17:15,01-09-2021 17:30,None,34,4.8,22.8,27.6
01-09-2021 17:30,01-09-2021 17:45,16,34,4.4,23.9,28.3
01-09-2021 17:45,01-09-2021 18:00,17,34,3.9,25,28.9
01-09-2021 18:00,01-09-2021 18:15,17,27,3.6,24.7,28.2
01-09-2021 18:15,01-09-2021 18:30,17,27,3.2,26.2,29.4
01-09-2021 18:30,01-09-2021 18:45,17,27,2.1,27,29.1
01-09-2021 18:45,01-09-2021 19:00,17,27,2.3,30.9,33.2
01-09-2021 19:00,01-09-2021 19:15,23,36,1.4,32.9,34.3
01-09-2021 19:15,01-09-2021 19:30,23,36,2.1,32,34.1
01-09-2021 19:30,01-09-2021 19:45,23,36,2.9,31.3,34.2
01-09-2021 19:45,01-09-2021 20:00,29,36,4.3,32.5,36.8
01-09-2021 20:00,01-09-2021 20:15,29,46,4.5,34.5,39
01-09-2021 20:15,01-09-2021 20:30,29,46,8.4,32.7,41.2
01-09-2021 20:30,01-09-2021 20:45,29,46,9.8,33.5,43.3
01-09-2021 20:45,01-09-2021 21:00,33,46,11.8,32.4,44.2
