From Date,To Date,NH3,SO2,CO,Ozone,Benzene
01-09-2021 00:00,01-09-2021 00:15,10.8,2.7,0.9,1.4,0.3
01-09-2021 00:15,01-09-2021 00:30,10.6,2.8,0.9,1.3,0.3
01-09-2021 00:30,01-09-2021 00:45,10.7,2.8,0.8,0.7,0.2
01-09-2021 00:45,01-09-2021 01:00,11.6,2.7,0.8,0.9,0.2
01-09-2021 01:00,01-09-2021 01:15,11.5,2.7,0.8,None,0.2
01-09-2021 01:15,01-09-2021 01:30,13.1,2.7,0.8,None,0.2
01-09-2021 01:30,01-09-2021 01:45,13.4,2.7,0.8,None,0.2
01-09-2021 01:45,01-09-2021 02:00,11.7,None,0.9,1.8,0.2
01-09-2021 02:00,01-09-2021 02:15,None,None,None,1.4,0.2
01-09-2021 02:15,01-09-2021 02:30,None,None,None,1.2,0.2
01-09-2021 02:30,01-09-2021 02:45,None,None,None,0.8,0.2
01-09-2021 02:45,01-09-2021 03:00,9.6,2.3,0.7,0.8,0.2
01-09-2021 03:00,01-09-2021 03:15,10.1,2.3,0.7,0.7,0.2
01-09-2021 03:15,01-09-2021 03:30,10,2.3,0.7,0.8,0.2
01-09-2021 03:30,01-09-2021 03:45,10.8,2,0.7,1.1,0.2
01-09-2021 03:45,01-09-2021 04:00,10.6,2.2,0.7,0.9,0.2
01-09-2021 04:00,01-09-2021 04:15,9.9,2.4,0.7,0.7,0.2
01-09-2021 04:15,01-09-2021 04:30,10.2,2.4,0.7,1.4,0.1
01-09-2021 04:30,01-09-2021 04:45,10.3,2.4,0.7,1.5,0.2
01-09-2021 04:45,01-09-2021 05:00,10.7,2.6,0.7,2,0.2
01-09-2021 05:00,01-09-2021 05:15,10.4,2.8,0.7,1.6,0.4
01-09-2021 05:15,01-09-2021 05:30,8.5,2.8,0.7,1.6,0.5
01-09-2021 05:30,01-09-2021 05:45,None,2.5,0.7,1.6,0.5
01-09-2021 05:45,01-09-2021 06:00,9.3,2.3,0.7,1.2,0.4
01-09-2021 06:00,01-09-2021 06:15,9.1,2.2,0.7,1.1,0.3
01-09-2021 06:15,01-09-2021 06:30,9.7,2.3,0.7,1.2,0.3
01-09-2021 06:30,01-09-2021 06:45,9.6,2,0.5,1.9,0.2
01-09-2021 06:45,01-09-2021 07:00,9.3,1.8,0.5,3.4,0.3
01-09-2021 07:00,01-09-2021 07:15,10.2,2,0.5,4.6,0.1
01-09-2021 07:15,01-09-2021 07:30,11.1,2.1,0.5,5.4,0.1
01-09-2021 07:30,01-09-2021 07:45,10.4,1.9,0.5,6.2,0.1
01-09-2021 07:45,01-09-2021 08:00,9.5,None,0.5,6.8,0
01-09-2021 08:00,01-09-2021 08:15,9.1,1.8,0.5,6.2,0
01-09-2021 08:15,01-09-2021 08:30,8.3,1.7,0.5,5.5,0
01-09-2021 08:30,01-09-2021 08:45,None,1.6,None,6.8,0.1
01-09-2021 08:45,01-09-2021 09:00,9.4,1.5,0.5,8.6,0
01-09-2021 09:00,01-09-2021 09:15,8.6,1.7,0.5,8.4,0.1
01-09-2021 09:15,01-09-2021 09:30,7.8,1.7,0.5,8.8,0
01-09-2021 09:30,01-09-2021 09:45,8.3,1.7,0.5,8.6,0
01-09-2021 09:45,01-09-2021 10:00,8.3,1.7,0.5,7.7,0
01-09-2021 10:00,01-09-2021 10:15,7.5,1.8,0.5,6.6,0
01-09-2021 10:15,01-09-2021 10:30,6.5,2.1,0.6,6.5,0.1
01-09-2021 10:30,01-09-2021 10:45,6.1,1.9,0.6,6.9,0.1
01-09-2021 10:45,01-09-2021 11:00,7.5,1.9,0.6,7.4,0.1
01-09-2021 11:00,01-09-2021 11:15,7.7,1.9,0.6,7.7,0.1
01-09-2021 11:15,01-09-2021 11:30,7.2,2,0.6,7.9,0
01-09-2021 11:30,01-09-2021 11:45,6.6,2.1,0.6,7.8,0.1
01-09-2021 11:45,01-09-2021 12:00,6.4,1.9,0.6,7.9,0.1
01-09-2021 12:00,01-09-2021 12:15,6.5,1.9,0.6,7.8,0.1
01-09-2021 12:15,01-09-2021 12:30,6.8,2,0.7,7.4,0.1
01-09-2021 12:30,01-09-2021 12:45,6.7,2,0.6,7.7,0.2
01-09-2021 12:45,01-09-2021 13:00,7.6,1.8,0.6,7.9,0.2
01-09-2021 13:00,01-09-2021 13:15,7.2,1.8,0.6,8.2,0.2
01-09-2021 13:15,01-09-2021 13:30,6.9,1.9,0.6,8.5,0.1
01-09-2021 13:30,01-09-2021 13:45,7.4,2,0.5,7.8,0.1
01-09-2021 13:45,01-09-2021 14:00,7.4,None,None,7.7,0.1
01-09-2021 14:00,01-09-2021 14:15,7,1.9,0.6,8.5,0.1
01-09-2021 14:15,01-09-2021 14:30,6.6,2.2,0.6,9.3,0.1
01-09-2021 14:30,01-09-2021 14:45,7,1.9,0.6,9.2,0.1
01-09-2021 14:45,01-09-2021 15:00,7.4,2,0.6,8.9,0.1
01-09-2021 15:00,01-09-2021 15:15,7.8,2,0.6,7.7,0.1
01-09-2021 15:15,01-09-2021 15:30,7.9,1.9,0.6,6.9,0.1
01-09-2021 15:30,01-09-2021 15:45,8.4,2.1,0.6,6.6,0.1
01-09-2021 15:45,01-09-2021 16:00,8.9,2.2,0.7,6.3,0.1
01-09-2021 16:00,01-09-2021 16:15,8,2.2,0.7,5.7,0.1
01-09-2021 16:15,01-09-2021 16:30,8.5,2.2,0.8,6.1,0.1
01-09-2021 16:30,01-09-2021 16:45,8.4,2.4,0.8,6.9,0.2
01-09-2021 16:45,01-09-2021 17:00,9,2.4,0.9,6.8,0.2
01-09-2021 17:00,01-09-2021 17:15,8.2,2.4,0.9,6.1,0.3
01-09-2021 17:15,01-09-2021 17:30,7.9,2.4,1,6.1,0.4
