From Date,To Date,Toluene,Temp,RH,WS,WD
01-09-2021 00:00,01-09-2021 00:15,3.5,None,78.6,1.1,97.5
01-09-2021 00:15,01-09-2021 00:30,3.1,None,78.7,1.2,116.9
01-09-2021 00:30,01-09-2021 00:45,2.9,None,78.7,1.6,135.2
01-09-2021 00:45,01-09-2021 01:00,2.7,None,78.7,2,148.1
01-09-2021 01:00,01-09-2021 01:15,2.7,None,78.6,1.7,144.4
01-09-2021 01:15,01-09-2021 01:30,2.8,None,78.6,1.3,137
01-09-2021 01:30,01-09-2021 01:45,2.8,None,78.6,1,117.8
01-09-2021 01:45,01-09-2021 02:00,3.1,None,78.8,0.8,105
01-09-2021 02:00,01-09-2021 02:15,3.2,None,78.7,0.7,106.2
01-09-2021 02:15,01-09-2021 02:30,3.1,None,79,0.9,91.8
01-09-2021 02:30,01-09-2021 02:45,2.8,None,78.8,1.1,75.3
01-09-2021 02:45,01-09-2021 03:00,2.6,None,78.8,0.9,63
01-09-2021 03:00,01-09-2021 03:15,2.4,None,78.7,1,58.6
01-09-2021 03:15,01-09-2021 03:30,2.2,None,78.7,1,63.5
01-09-2021 03:30,01-09-2021 03:45,2.1,None,78.8,1.2,80.2
01-09-2021 03:45,01-09-2021 04:00,2,None,78.8,1.4,71.3
01-09-2021 04:00,01-09-2021 04:15,2,None,79,1.3,65.5
01-09-2021 04:15,01-09-2021 04:30,1.9,None,79.2,1.4,72.1
01-09-2021 04:30,01-09-2021 04:45,2,None,79.1,1.5,82.9
01-09-2021 04:45,01-09-2021 05:00,2.4,None,78.8,1.6,83.4
01-09-2021 05:00,01-09-2021 05:15,3.6,None,78.8,1.5,87.2
01-09-2021 05:15,01-09-2021 05:30,4.8,None,78.8,1.6,88.5
01-09-2021 05:30,01-09-2021 05:45,5.3,None,78.6,1.6,83
01-09-2021 05:45,01-09-2021 06:00,4.8,None,78.5,1.5,74.4
01-09-2021 06:00,01-09-2021 06:15,3.8,None,78.5,1.3,97.3
01-09-2021 06:15,01-09-2021 06:30,3,None,78.9,3.1,163.1
01-09-2021 06:30,01-09-2021 06:45,2.5,None,79.8,2.6,154.1
01-09-2021 06:45,01-09-2021 07:00,2.2,None,81.1,2.7,146
01-09-2021 07:00,01-09-2021 07:15,0.9,None,83,1.8,94.9
01-09-2021 07:15,01-09-2021 07:30,0.4,None,80.9,0.8,359.4
01-09-2021 07:30,01-09-2021 07:45,0.3,None,82.9,2.1,0.5
01-09-2021 07:45,01-09-2021 08:00,0.2,None,83.5,2,10.4
01-09-2021 08:00,01-09-2021 08:15,0.2,None,83,1.8,3
01-09-2021 08:15,01-09-2021 08:30,0.3,None,83.3,1.6,328.1
01-09-2021 08:30,01-09-2021 08:45,0.4,None,83.1,1.8,15.8
01-09-2021 08:45,01-09-2021 09:00,0.4,None,83.3,2.4,50.3
01-09-2021 09:00,01-09-2021 09:15,0.2,None,83.5,3.3,44.1
01-09-2021 09:15,01-09-2021 09:30,0.2,None,83.7,2.9,47.1
01-09-2021 09:30,01-09-2021 09:45,0.3,None,83.7,2.9,54.5
01-09-2021 09:45,01-09-2021 10:00,0.2,None,83.8,2.3,80.9
01-09-2021 10:00,01-09-2021 10:15,0.4,None,83.7,2.8,101.3
01-09-2021 10:15,01-09-2021 10:30,0.4,None,83.7,2.5,91.2
01-09-2021 10:30,01-09-2021 10:45,0.6,None,83,2.6,124.4
01-09-2021 10:45,01-09-2021 11:00,0.7,None,83.4,2.5,115.7
01-09-2021 11:00,01-09-2021 11:15,0.5,None,83.8,2,99.6
01-09-2021 11:15,01-09-2021 11:30,0.3,None,83.7,2.7,76.5
01-09-2021 11:30,01-09-2021 11:45,0.6,None,83.8,2.5,57.4
01-09-2021 11:45,01-09-2021 12:00,0.7,None,83.2,2.4,51.1
01-09-2021 12:00,01-09-2021 12:15,1.2,None,83.1,2,57.9
01-09-2021 12:15,01-09-2021 12:30,1.2,None,83.1,2,46.1
01-09-2021 12:30,01-09-2021 12:45,1.9,None,83.1,2.3,43.5
01-09-2021 12:45,01-09-2021 13:00,2.3,None,81.9,2.1,41.8
01-09-2021 13:00,01-09-2021 13:15,1.6,None,80.2,1.8,50.1
01-09-2021 13:15,01-09-2021 13:30,1.1,None,80,1.7,62.6
01-09-2021 13:30,01-09-2021 13:45,0.9,None,80.1,0.9,69
01-09-2021 13:45,01-09-2021 14:00,0.7,None,79.4,1,58.9
01-09-2021 14:00,01-09-2021 14:15,0.8,None,79.4,1.2,35.5
01-09-2021 14:15,01-09-2021 14:30,0.9,None,79.7,1,30.2
01-09-2021 14:30,01-09-2021 14:45,1.7,None,79.9,1.3,38.3
