From Date,To Date,SR,BP,VWS,AT,RF
01-09-2021 00:00,01-09-2021 00:15,3.4,986,None,26.2,0
01-09-2021 00:15,01-09-2021 00:30,3.4,985.7,None,26.1,0
01-09-2021 00:30,01-09-2021 00:45,3.4,985.6,None,26,0
01-09-2021 00:45,01-09-2021 01:00,3.3,985.5,None,26,0
01-09-2021 01:00,01-09-2021 01:15,3.4,985.4,None,25.9,0
01-09-2021 01:15,01-09-2021 01:30,3.4,985.3,None,25.9,0
01-09-2021 01:30,01-09-2021 01:45,3.5,985.1,None,25.9,0
01-09-2021 01:45,01-09-2021 02:00,3.4,985,None,25.9,0
01-09-2021 02:00,01-09-2021 02:15,3.5,984.9,None,25.9,0
01-09-2021 02:15,01-09-2021 02:30,3.5,984.8,None,25.9,0
01-09-2021 02:30,01-09-2021 02:45,3.6,984.7,None,25.9,0
01-09-2021 02:45,01-09-2021 03:00,3.5,984.7,None,25.9,0
01-09-2021 03:00,01-09-2021 03:15,3.5,984.9,None,25.9,0
01-09-2021 03:15,01-09-2021 03:30,3.5,984.9,None,26,0
01-09-2021 03:30,01-09-2021 03:45,3.5,984.9,None,26.1,0
01-09-2021 03:45,01-09-2021 04:00,3.5,984.9,None,26,0
01-09-2021 04:00,01-09-2021 04:15,3.5,984.8,None,26.1,0
01-09-2021 04:15,01-09-2021 04:30,3.6,984.7,None,26.1,0
01-09-2021 04:30,01-09-2021 04:45,3.5,984.5,None,26.1,0
01-09-2021 04:45,01-09-2021 05:00,3.5,984.4,None,26,0
01-09-2021 05:00,01-09-2021 05:15,3.5,984.3,None,26,0
01-09-2021 05:15,01-09-2021 05:30,3.4,984.3,None,26,0
01-09-2021 05:30,01-09-2021 05:45,3.5,984.4,None,26,0
01-09-2021 05:45,01-09-2021 06:00,3.8,984.5,None,26.1,0
01-09-2021 06:00,01-09-2021 06:15,3.9,984.9,None,26.2,0
01-09-2021 06:15,01-09-2021 06:30,3.5,985.2,None,25.8,3.5
01-09-2021 06:30,01-09-2021 06:45,3.5,985.3,None,25.1,4.5
01-09-2021 06:45,01-09-2021 07:00,3.6,985.7,None,24.8,7.5
01-09-2021 07:00,01-09-2021 07:15,3.8,985.6,None,24.5,2.5
01-09-2021 07:15,01-09-2021 07:30,3.6,985.8,None,24,1.5
01-09-2021 07:30,01-09-2021 07:45,3.7,986,None,24.3,1
01-09-2021 07:45,01-09-2021 08:00,4.1,986.1,None,24.7,7
01-09-2021 08:00,01-09-2021 08:15,5.1,986,None,24.4,5
01-09-2021 08:15,01-09-2021 08:30,4.8,986.2,None,24.3,1.5
01-09-2021 08:30,01-09-2021 08:45,4.6,986.5,None,23.9,4.5
01-09-2021 08:45,01-09-2021 09:00,8,986.8,None,23.6,3.5
01-09-2021 09:00,01-09-2021 09:15,11.3,986.8,None,23.7,1
01-09-2021 09:15,01-09-2021 09:30,12,986.9,None,23.8,1.5
01-09-2021 09:30,01-09-2021 09:45,30.2,986.8,None,24.2,0.5
01-09-2021 09:45,01-09-2021 10:00,27.9,986.6,None,24.3,1.5
01-09-2021 10:00,01-09-2021 10:15,32.4,986.6,None,24.3,0.5
01-09-2021 10:15,01-09-2021 10:30,40.8,986.5,None,24.2,0.5
01-09-2021 10:30,01-09-2021 10:45,30.5,986.6,None,23.9,2.5
01-09-2021 10:45,01-09-2021 11:00,11.1,986.8,None,23.7,3.5
01-09-2021 11:00,01-09-2021 11:15,11.4,986.8,None,23.6,1.5
01-09-2021 11:15,01-09-2021 11:30,14.3,986.6,None,23.4,1.5
01-09-2021 11:30,01-09-2021 11:45,15.3,986.3,None,23.4,0.5
01-09-2021 11:45,01-09-2021 12:00,14.9,986.2,None,23.4,0
01-09-2021 12:00,01-09-2021 12:15,13.1,986,None,23.4,0
01-09-2021 12:15,01-09-2021 12:30,12,985.7,None,23.5,0
01-09-2021 12:30,01-09-2021 12:45,12.1,985.4,None,23.5,0
01-09-2021 12:45,01-09-2021 13:00,12.9,985.2,None,23.5,0
01-09-2021 13:00,01-09-2021 13:15,14.2,985,None,23.6,0
01-09-2021 13:15,01-09-2021 13:30,13.6,985,None,23.8,0
01-09-2021 13:30,01-09-2021 13:45,14.2,985,None,24.1,0.5
01-09-2021 13:45,01-09-2021 14:00,13.6,984.7,None,24.2,0.5
01-09-2021 14:00,01-09-2021 14:15,15.1,984.5,None,24.3,1
01-09-2021 14:15,01-09-2021 14:30,27.7,984.3,None,24.5,1.5
01-09-2021 14:30,01-09-2021 14:45,44.8,984.1,None,24.6,2
01-09-2021 14:45,01-09-2021 15:00,35.9,983.9,None,24.7,0
01-09-2021 15:00,01-09-2021 15:15,29.8,983.9,None,24.9,0
01-09-2021 15:15,01-09-2021 15:30,21.2,983.7,None,24.8,0
01-09-2021 15:30,01-09-2021 15:45,37.8,983.6,None,25,0
01-09-2021 15:45,01-09-2021 16:00,62.3,983.4,None,25.2,0
01-09-2021 16:00,01-09-2021 16:15,70,983.2,None,25.4,0
01-09-2021 16:15,01-09-2021 16:30,69.2,983,None,25.5,0
01-09-2021 16:30,01-09-2021 16:45,79.9,982.8,None,25.8,0
01-09-2021 16:45,01-09-2021 17:00,91.1,982.4,None,26,0
01-09-2021 17:00,01-09-2021 17:15,83,982.2,None,26.4,0
01-09-2021 17:15,01-09-2021 17:30,72.3,982,None,26.4,0
01-09-2021 17:30,01-09-2021 17:45,60.6,981.9,None,26.4,0
01-09-2021 17:45,01-09-2021 18:00,47.3,982,None,26.4,0
01-09-2021 18:00,01-09-2021 18:15,24.6,982.2,None,26.3,0
01-09-2021 18:15,01-09-2021 18:30,12.2,982.4,None,26,0
01-09-2021 18:30,01-09-2021 18:45,6.6,982.3,None,25.8,0
01-09-2021 18:45,01-09-2021 19:00,3.9,982.3,None,25.8,0
01-09-2021 19:00,01-09-2021 19:15,3.6,982.4,None,25.7,0
01-09-2021 19:15,01-09-2021 19:30,3.5,982.5,None,25.6,0
01-09-2021 19:30,01-09-2021 19:45,3.6,982.6,None,25.6,0
