From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,RH,WS,WD,SR,BP,AT,RF,timestamp
2021-09-01T00:00:00+05:30,2021-09-01T00:15:00+05:30,23.0,46.0,5.8,26.6,32.4,10.8,2.7,0.9,1.4,0.3,3.5,78.6,1.1,97.5,3.4,986.0,26.2,0.0,1630435500
2021-09-01T00:15:00+05:30,2021-09-01T00:30:00+05:30,23.0,46.0,5.2,25.3,30.4,10.6,2.8,0.9,1.3,0.3,3.1,78.7,1.2,116.9,3.4,985.7,26.1,0.0,1630436400
2021-09-01T00:30:00+05:30,2021-09-01T00:45:00+05:30,23.0,46.0,5.9,23.7,29.5,10.7,2.8,0.8,0.7,0.2,2.9,78.7,1.6,135.2,3.4,985.6,26.0,0.0,1630437300
2021-09-01T00:45:00+05:30,2021-09-01T01:00:00+05:30,23.0,46.0,4.5,23.2,27.7,11.6,2.7,0.8,0.9,0.2,2.7,78.7,2.0,148.1,3.3,985.5,26.0,0.0,1630438200
2021-09-01T02:45:00+05:30,2021-09-01T03:00:00+05:30,23.0,41.0,9.7,27.4,37.1,9.6,2.3,0.7,0.8,0.2,2.6,78.8,0.9,63.0,3.5,984.7,25.9,0.0,1630445400
2021-09-01T03:00:00+05:30,2021-09-01T03:15:00+05:30,18.0,39.0,6.0,25.1,31.2,10.1,2.3,0.7,0.7,0.2,2.4,78.7,1.0,58.6,3.5,984.9,25.9,0.0,1630446300
2021-09-01T03:15:00+05:30,2021-09-01T03:30:00+05:30,18.0,39.0,5.0,22.5,27.5,10.0,2.3,0.7,0.8,0.2,2.2,78.7,1.0,63.5,3.5,984.9,26.0,0.0,1630447200
2021-09-01T03:30:00+05:30,2021-09-01T03:45:00+05:30,18.0,39.0,4.4,20.7,25.1,10.8,2.0,0.7,1.1,0.2,2.1,78.8,1.2,80.2,3.5,984.9,26.1,0.0,1630448100
2021-09-01T03:45:00+05:30,2021-09-01T04:00:00+05:30,18.0,39.0,3.7,18.9,22.7,10.6,2.2,0.7,0.9,0.2,2.0,78.8,1.4,71.3,3.5,984.9,26.0,0.0,1630449000
2021-09-01T04:15:00+05:30,2021-09-01T04:30:00+05:30,16.0,33.0,3.5,22.4,25.8,10.2,2.4,0.7,1.4,0.1,1.9,79.2,1.4,72.1,3.6,984.7,26.1,0.0,1630450800
2021-09-01T04:30:00+05:30,2021-09-01T04:45:00+05:30,16.0,33.0,9.8,24.2,34.0,10.3,2.4,0.7,1.5,0.2,2.0,79.1,1.5,82.9,3.5,984.5,26.1,0.0,1630451700
2021-09-01T04:45:00+05:30,2021-09-01T05:00:00+05:30,16.0,33.0,13.2,25.3,38.5,10.7,2.6,0.7,2.0,0.2,2.4,78.8,1.6,83.4,3.5,984.4,26.0,0.0,1630452600
2021-09-01T05:00:00+05:30,2021-09-01T05:15:00+05:30,20.0,44.0,11.5,26.0,37.5,10.4,2.8,0.7,1.6,0.4,3.6,78.8,1.5,87.2,3.5,984.3,26.0,0.0,1630453500
2021-09-01T05:45:00+05:30,2021-09-01T06:00:00+05:30,20.0,44.0,5.4,23.5,28.8,9.3,2.3,0.7,1.2,0.4,4.8,78.5,1.5,74.4,3.8,984.5,26.1,0.0,1630456200
2021-09-01T06:00:00+05:30,2021-09-01T06:15:00+05:30,23.0,47.0,5.2,22.8,28.0,9.1,2.2,0.7,1.1,0.3,3.8,78.5,1.3,97.3,3.9,984.9,26.2,0.0,1630457100
2021-09-01T06:15:00+05:30,2021-09-01T06:30:00+05:30,23.0,47.0,5.4,22.4,27.9,9.7,2.3,0.7,1.2,0.3,3.0,78.9,3.1,163.1,3.5,985.2,25.8,3.5,1630458000
2021-09-01T06:30:00+05:30,2021-09-01T06:45:00+05:30,23.0,47.0,4.8,13.7,18.4,9.6,2.0,0.5,1.9,0.2,2.5,79.8,2.6,154.1,3.5,985.3,25.1,4.5,1630458900
2021-09-01T06:45:00+05:30,2021-09-01T07:00:00+05:30,23.0,47.0,3.2,9.5,12.7,9.3,1.8,0.5,3.4,0.3,2.2,81.1,2.7,146.0,3.6,985.7,24.8,7.5,1630459800
2021-09-01T07:00:00+05:30,2021-09-01T07:15:00+05:30,11.0,23.0,3.1,8.7,11.8,10.2,2.0,0.5,4.6,0.1,0.9,83.0,1.8,94.9,3.8,985.6,24.5,2.5,1630460700
2021-09-01T07:15:00+05:30,2021-09-01T07:30:00+05:30,11.0,23.0,2.6,8.1,10.6,11.1,2.1,0.5,5.4,0.1,0.4,80.9,0.8,359.4,3.6,985.8,24.0,1.5,1630461600
2021-09-01T07:30:00+05:30,2021-09-01T07:45:00+05:30,11.0,23.0,2.3,6.7,9.0,10.4,1.9,0.5,6.2,0.1,0.3,82.9,2.1,0.5,3.7,986.0,24.3,1.0,1630462500
2021-09-01T10:00:00+05:30,2021-09-01T10:15:00+05:30,5.0,9.0,2.5,10.2,12.7,7.5,1.8,0.5,6.6,0.0,0.4,83.7,2.8,101.3,32.4,986.6,24.3,0.5,1630471500
2021-09-01T10:15:00+05:30,2021-09-01T10:30:00+05:30,5.0,9.0,3.1,11.1,14.3,6.5,2.1,0.6,6.5,0.1,0.4,83.7,2.5,91.2,40.8,986.5,24.2,0.5,1630472400
2021-09-01T10:30:00+05:30,2021-09-01T10:45:00+05:30,5.0,9.0,3.7,10.6,14.3,6.1,1.9,0.6,6.9,0.1,0.6,83.0,2.6,124.4,30.5,986.6,23.9,2.5,1630473300
2021-09-01T10:45:00+05:30,2021-09-01T11:00:00+05:30,5.0,9.0,3.2,11.0,14.3,7.5,1.9,0.6,7.4,0.1,0.7,83.4,2.5,115.7,11.1,986.8,23.7,3.5,1630474200
2021-09-01T11:00:00+05:30,2021-09-01T11:15:00+05:30,1.0,6.0,2.2,8.9,11.1,7.7,1.9,0.6,7.7,0.1,0.5,83.8,2.0,99.6,11.4,986.8,23.6,1.5,1630475100
2021-09-01T11:15:00+05:30,2021-09-01T11:30:00+05:30,1.0,6.0,2.7,9.0,11.7,7.2,2.0,0.6,7.9,0.0,0.3,83.7,2.7,76.5,14.3,986.6,23.4,1.5,1630476000
2021-09-01T11:30:00+05:30,2021-09-01T11:45:00+05:30,1.0,6.0,3.4,9.7,13.1,6.6,2.1,0.6,7.8,0.1,0.6,83.8,2.5,57.4,15.3,986.3,23.4,0.5,1630476900
2021-09-01T11:45:00+05:30,2021-09-01T12:00:00+05:30,1.0,6.0,3.6,10.3,14.0,6.4,1.9,0.6,7.9,0.1,0.7,83.2,2.4,51.1,14.9,986.2,23.4,0.0,1630477800
2021-09-01T16:00:00+05:30,2021-09-01T16:15:00+05:30,9.0,14.0,4.0,17.6,21.7,8.0,2.2,0.7,5.7,0.1,10.4,79.4,1.3,54.8,70.0,983.2,25.4,0.0,1630493100
2021-09-01T16:15:00+05:30,2021-09-01T16:30:00+05:30,9.0,14.0,3.9,17.9,21.8,8.5,2.2,0.8,6.1,0.1,10.9,79.2,1.0,79.0,69.2,983.0,25.5,0.0,1630494000
2021-09-01T16:30:00+05:30,2021-09-01T16:45:00+05:30,9.0,14.0,3.0,20.1,23.1,8.4,2.4,0.8,6.9,0.2,12.1,78.8,1.1,106.1,79.9,982.8,25.8,0.0,1630494900
2021-09-01T17:30:00+05:30,2021-09-01T17:45:00+05:30,16.0,34.0,4.4,23.9,28.3,8.6,2.4,1.0,5.9,0.4,7.0,77.3,1.2,90.5,60.6,981.9,26.4,0.0,1630498500
2021-09-01T17:45:00+05:30,2021-09-01T18:00:00+05:30,17.0,34.0,3.9,25.0,28.9,9.0,2.2,1.1,6.2,0.5,5.6,77.4,1.2,85.8,47.3,982.0,26.4,0.0,1630499400
