From Date,To Date,PM2.5,PM10,NO,NO2,NOx
01-09-2021 00:00,01-09-2021 00:30,28,56,19.65,45.8,40.4
01-09-2021 00:30,01-09-2021 01:00,25,51.5,12.25,37.65,29.95
01-09-2021 01:00,01-09-2021 01:30,22,47,9.9,40.7,29.7
01-09-2021 01:30,01-09-2021 02:00,20,35,8.2,34.05,24.85
01-09-2021 02:00,01-09-2021 02:30,18,23,4.5,34.65,22.1
01-09-2021 02:30,01-09-2021 03:00,15,27,7.1,36.9,25.5
01-09-2021 03:00,01-09-2021 03:30,12,31,7.65,38.7,26.9
01-09-2021 03:30,01-09-2021 04:00,14.5,32,8.95,39.05,28.1
01-09-2021 04:00,01-09-2021 04:30,17,33,2.95,33.2,20.1
01-09-2021 04:30,01-09-2021 05:00,18.5,30,7.45,35.65,25.05
01-09-2021 05:00,01-09-2021 05:30,20,27,4.8,29.1,19.4
01-09-2021 05:30,01-09-2021 06:00,14,20.5,2.25,25.35,15.35
01-09-2021 06:00,01-09-2021 06:30,8,14,1.8,15,9.4
01-09-2021 06:30,01-09-2021 07:00,8,12.5,1.4,23.5,13.6
01-09-2021 07:00,01-09-2021 07:30,8,11,6.7,35.25,24.2
01-09-2021 07:30,01-09-2021 08:00,10.5,17,14.3,38.05,31.8
01-09-2021 08:00,01-09-2021 08:30,13,23,5.15,24.05,16.95
01-09-2021 08:30,01-09-2021 09:00,13,23,2.65,25.85,15.85
01-09-2021 09:00,01-09-2021 09:30,None,None,4.85,37.5,23.9
01-09-2021 09:30,01-09-2021 10:00,9,14,3.55,30.35,19
01-09-2021 10:00,01-09-2021 10:30,9,14,4.6,32.15,20.85
01-09-2021 10:30,01-09-2021 11:00,11,16,2.55,26.8,16.45
01-09-2021 11:00,01-09-2021 11:30,13,18,6.25,29.95,21.05
01-09-2021 11:30,01-09-2021 12:00,13,18.5,8.6,35.2,25.75
01-09-2021 12:00,01-09-2021 12:30,13,19,8.3,31.3,23.45
01-09-2021 12:30,01-09-2021 13:00,10,16,8.3,37.5,26.65
01-09-2021 13:00,01-09-2021 13:30,7,13,8.35,39.45,27.8
01-09-2021 13:30,01-09-2021 14:00,9,20.5,7.55,41.35,28.15
01-09-2021 14:00,01-09-2021 14:30,11,28,9,50,33.95
01-09-2021 14:30,01-09-2021 15:00,18,34,10.05,48.3,33.8
01-09-2021 15:00,01-09-2021 15:30,25,40,22.3,65.3,53
01-09-2021 15:30,01-09-2021 16:00,27,42.5,13.85,64.65,45.65
01-09-2021 16:00,01-09-2021 16:30,29,45,11.15,60.15,41.1
01-09-2021 16:30,01-09-2021 17:00,26,40.5,10,54.5,37.1
01-09-2021 17:00,01-09-2021 17:30,23,36,10.45,54.8,37.65
