From Date,To Date,Toluene,Temp,RH,WS,WD
01-09-2021 00:00,01-09-2021 00:30,38.3,None,78.05,0.3,319.85
01-09-2021 00:30,01-09-2021 01:00,38.05,None,78.15,0.3,319.9
01-09-2021 01:00,01-09-2021 01:30,39.05,None,78.35,0.3,319.9
01-09-2021 01:30,01-09-2021 02:00,32.6,None,78.4,0.3,319.85
01-09-2021 02:00,01-09-2021 02:30,30.7,None,78.25,0.3,319.9
01-09-2021 02:30,01-09-2021 03:00,30.25,None,77.9,0.3,319.95
01-09-2021 03:00,01-09-2021 03:30,34.55,None,78.15,0.3,320
01-09-2021 03:30,01-09-2021 04:00,35.25,None,78.6,0.3,319.9
01-09-2021 04:00,01-09-2021 04:30,32.25,None,78.7,0.3,319.9
01-09-2021 04:30,01-09-2021 05:00,31.35,None,78.85,0.3,319.9
01-09-2021 05:00,01-09-2021 05:30,30.15,None,78.3,0.3,319.95
01-09-2021 05:30,01-09-2021 06:00,27.45,None,78.25,0.3,318.3
01-09-2021 06:00,01-09-2021 06:30,28.45,None,81,0.3,248.05
01-09-2021 06:30,01-09-2021 07:00,19.9,None,81.95,0.3,248.2
01-09-2021 07:00,01-09-2021 07:30,20.2,None,81.75,0.3,248.1
01-09-2021 07:30,01-09-2021 08:00,28.1,None,81.55,0.3,247.9
01-09-2021 08:00,01-09-2021 08:30,31.5,None,81.3,0.3,247.65
01-09-2021 08:30,01-09-2021 09:00,25.75,None,81.65,0.3,248.75
01-09-2021 09:00,01-09-2021 09:30,24.1,None,81.7,0.3,248.55
01-09-2021 09:30,01-09-2021 10:00,27.15,None,81.5,0.25,256.5
01-09-2021 10:00,01-09-2021 10:30,29.25,None,81.55,0.4,33.9
01-09-2021 10:30,01-09-2021 11:00,28.45,None,81.5,0.3,33.85
01-09-2021 11:00,01-09-2021 11:30,27.6,None,81.05,0.3,158.2
01-09-2021 11:30,01-09-2021 12:00,31.9,None,80.4,0.3,302.3
01-09-2021 12:00,01-09-2021 12:30,40.15,None,77.5,0.3,301.75
01-09-2021 12:30,01-09-2021 13:00,41.55,None,76.2,0.75,313.95
01-09-2021 13:00,01-09-2021 13:30,36.7,None,76.55,1.2,293.95
01-09-2021 13:30,01-09-2021 14:00,41,None,75.2,0.95,222.2
01-09-2021 14:00,01-09-2021 14:30,41.95,None,75.65,0.65,158.3
01-09-2021 14:30,01-09-2021 15:00,50.25,None,77,1.4,169.1
01-09-2021 15:00,01-09-2021 15:30,52.65,None,78.85,0.9,168.95
01-09-2021 15:30,01-09-2021 16:00,58.05,None,80.05,0.75,164.7
01-09-2021 16:00,01-09-2021 16:30,63.5,None,80.6,0.75,171.05
01-09-2021 16:30,01-09-2021 17:00,76.9,None,79.7,1.35,165
01-09-2021 17:00,01-09-2021 17:30,70.4,None,79.65,0.7,165.2
01-09-2021 17:30,01-09-2021 18:00,75.65,None,80.1,0.55,164.7
01-09-2021 18:00,01-09-2021 18:30,106.35,None,80.4,0.65,175.85
01-09-2021 18:30,01-09-2021 19:00,134,None,80.65,0.45,205.45
01-09-2021 19:00,01-09-2021 19:30,135.05,None,81.2,0.65,207.2
01-09-2021 19:30,01-09-2021 20:00,127.35,None,81.25,0.6,207
01-09-2021 20:00,01-09-2021 20:30,110.5,None,81.05,0.6,207
01-09-2021 20:30,01-09-2021 21:00,116.8,None,80.65,0.7,204.45
01-09-2021 21:00,01-09-2021 21:30,94.5,None,80.75,0.45,202.9
01-09-2021 21:30,01-09-2021 22:00,75.6,None,80.75,0.4,202.9
01-09-2021 22:00,01-09-2021 22:30,65.5,None,81.1,0.35,202.9
01-09-2021 22:30,01-09-2021 23:00,62.8,None,81.3,0.35,202.95
01-09-2021 23:00,01-09-2021 23:30,74.45,None,81.35,0.3,202.9
01-09-2021 23:30,02-09-2021 00:00,69.5,None,81.6,0.3,202.95
02-09-2021 00:00,02-09-2021 00:30,60.25,None,81.9,0.55,202.9
02-09-2021 00:30,02-09-2021 01:00,59.9,None,81.85,0.3,202.9
02-09-2021 01:00,02-09-2021 01:30,58.45,None,82.15,0.3,202.9
02-09-2021 01:30,02-09-2021 02:00,64,None,82.2,0.35,202.85
02-09-2021 02:00,02-09-2021 02:30,60.75,None,82.15,0.35,202.85
02-09-2021 02:30,02-09-2021 03:00,61.35,None,82,0.3,202.85
02-09-2021 03:00,02-09-2021 03:30,56.9,None,81.95,0.3,202.8
02-09-2021 03:30,02-09-2021 04:00,56.05,None,81.9,0.4,202.8
02-09-2021 04:00,02-09-2021 04:30,58.35,None,82.05,0.35,202.8
02-09-2021 04:30,02-09-2021 05:00,62.85,None,82.05,0.4,202.8
02-09-2021 05:00,02-09-2021 05:30,74.1,None,82.15,0.35,202.8
02-09-2021 05:30,02-09-2021 06:00,88.65,None,81.95,0.8,196.9
02-09-2021 06:00,02-09-2021 06:30,102,None,82.15,1.35,107.25
02-09-2021 06:30,02-09-2021 07:00,96.7,None,82.15,0.85,21.6
02-09-2021 07:00,02-09-2021 07:30,75.45,None,82.3,0.8,160.4
02-09-2021 07:30,02-09-2021 08:00,46.25,None,82.45,0.45,169
02-09-2021 08:00,02-09-2021 08:30,36.1,None,82.25,0.95,172.1
02-09-2021 08:30,02-09-2021 09:00,32.3,None,82.15,0.8,172.85
02-09-2021 09:00,02-09-2021 09:30,25.55,None,81.85,0.5,185.8
02-09-2021 09:30,02-09-2021 10:00,34.25,None,80.45,0.9,184.45
02-09-2021 10:00,02-09-2021 10:30,51.35,None,76.15,1.15,175.5
02-09-2021 10:30,02-09-2021 11:00,57.35,None,72.15,0.95,183.4
02-09-2021 11:00,02-09-2021 11:30,67.35,None,67.4,0.95,175
02-09-2021 11:30,02-09-2021 12:00,59.9,None,63.65,0.95,183.8
02-09-2021 12:00,02-09-2021 12:30,43.95,None,58.35,0.85,238.4
