From Date,To Date,SR,BP,AT,RF,TOT-RF
01-09-2021 00:00,01-09-2021 00:30,4.1,984.4,26.3,0,0
01-09-2021 00:30,01-09-2021 01:00,4.1,984.1,26.25,0,0
01-09-2021 01:00,01-09-2021 01:30,4.1,983.85,26.1,0,0
01-09-2021 01:30,01-09-2021 02:00,4.1,983.45,26.1,0,0
01-09-2021 02:00,01-09-2021 02:30,4.1,983.2,26.15,0,0
01-09-2021 02:30,01-09-2021 03:00,4.1,983,26.25,0,0
01-09-2021 03:00,01-09-2021 03:30,4.1,983.2,26.4,0,0
01-09-2021 03:30,01-09-2021 04:00,4.05,983.25,26.3,0,0
01-09-2021 04:00,01-09-2021 04:30,4.1,983.25,26.35,0.25,0.5
01-09-2021 04:30,01-09-2021 05:00,4.1,983,26.25,0,0
01-09-2021 05:00,01-09-2021 05:30,4.1,982.85,26.3,0,0
01-09-2021 05:30,01-09-2021 06:00,4.1,983,26.25,0.75,1.5
01-09-2021 06:00,01-09-2021 06:30,4.2,983.35,25.1,5.75,11.5
01-09-2021 06:30,01-09-2021 07:00,4.45,983.55,25.55,0.25,0.5
01-09-2021 07:00,01-09-2021 07:30,4.95,983.85,25.6,0.5,1
01-09-2021 07:30,01-09-2021 08:00,5,984.2,25.6,0.5,1
01-09-2021 08:00,01-09-2021 08:30,6,984.45,24.85,4.25,8.5
01-09-2021 08:30,01-09-2021 09:00,7.4,984.5,24.55,2,4
01-09-2021 09:00,01-09-2021 09:30,9.5,984.7,24.35,1.5,3
01-09-2021 09:30,01-09-2021 10:00,10.5,985.2,24,3.25,6.5
01-09-2021 10:00,01-09-2021 10:30,10.65,985.5,23.55,2.75,5.5
01-09-2021 10:30,01-09-2021 11:00,20.3,985.1,23.1,0.75,1.5
01-09-2021 11:00,01-09-2021 11:30,54.5,984.8,22.95,0,0
01-09-2021 11:30,01-09-2021 12:00,75,984.35,23.65,0,0
01-09-2021 12:00,01-09-2021 12:30,92.65,983.85,23.95,0,0
01-09-2021 12:30,01-09-2021 13:00,67.95,983.5,24.4,0,0
01-09-2021 13:00,01-09-2021 13:30,64.95,983.1,25.05,0,0
01-09-2021 13:30,01-09-2021 14:00,90.5,982.95,25.8,0,0
01-09-2021 14:00,01-09-2021 14:30,49.3,982.7,25.95,0,0
01-09-2021 14:30,01-09-2021 15:00,69.1,982.1,26.15,0.25,0.5
01-09-2021 15:00,01-09-2021 15:30,33.9,982.15,25.95,0.5,1
01-09-2021 15:30,01-09-2021 16:00,26.7,981.85,25.85,0.5,1
01-09-2021 16:00,01-09-2021 16:30,38.7,981.6,26,0.25,0.5
01-09-2021 16:30,01-09-2021 17:00,44.2,981.1,25.9,0,0
01-09-2021 17:00,01-09-2021 17:30,24.7,980.85,25.8,0,0
01-09-2021 17:30,01-09-2021 18:00,17.6,980.9,25.75,0,0
01-09-2021 18:00,01-09-2021 18:30,16.25,980.85,25.8,0,0
01-09-2021 18:30,01-09-2021 19:00,5.35,980.95,25.8,0,0
01-09-2021 19:00,01-09-2021 19:30,4.1,981,25.9,0,0
01-09-2021 19:30,01-09-2021 20:00,4.1,980.9,26,0,0
01-09-2021 20:00,01-09-2021 20:30,4.1,981.3,26,0.25,0.5
01-09-2021 20:30,01-09-2021 21:00,4.05,981.55,25.9,0,0
